start_s,end_s,label
12.92,24.16,rally
53.84,62.4,rally
88.2,92.24,rally
117.08,119.36,rally
130.64,140.88,rally
168.44,170.8,rally
182.88,190.56,rally
217.64,220.52,rally
240.28,255.76,rally
287.24,315.56,rally
352.32,356.16,rally
370.96,374.68,rally
455.16,476.96,rally
496.24,500.96,rally
515.24,520.84,rally
536.76,543.12,rally
557.6,559.76,rally
604.44,606.64,rally
619.72,638.6,rally
665.96,668.24,rally
681.92,717.56,rally
755.76,758.96,rally
772.48,787.48,rally
826.44,837.56,rally
876.08,895.28,rally
931.0,938.0,rally
994.52,996.6,rally
1008.6,1017.32,rally
1048.12,1051.92,rally
1072.12,1075.44,rally
1100.88,1107.56,rally
1136.52,1139.0,rally
1160.36,1176.08,rally
1301.72,1320.56,rally
1342.76,1345.16,rally
1349.96,1353.68,rally
1372.4,1377.52,rally
1389.56,1392.08,rally
1397.32,1407.28,rally
1426.64,1437.28,rally
1456.6,1459.36,rally
1505.12,1507.48,rally
1521.36,1546.4,rally
1580.68,1586.72,rally
1620.0,1621.88,rally
1635.2,1653.0,rally
1689.52,1691.56,rally
1704.76,1710.28,rally
1862.0,1888.12,rally
1911.44,1923.68,rally
1945.24,1947.2,rally
1965.16,1970.84,rally
1984.6,1987.36,rally
2000.0,2002.56,rally
2008.64,2018.96,rally
2039.68,2051.88,rally
2096.44,2098.56,rally
2113.08,2116.08,rally
2143.12,2145.88,rally
2157.36,2159.72,rally
2188.0,2217.24,rally
2249.96,2254.92,rally
2398.08,2400.52,rally
2406.6,2412.08,rally
2426.92,2429.08,rally
2444.76,2448.12,rally
2461.12,2475.6,rally
2496.44,2499.36,rally
2546.84,2549.36,rally
2559.8,2566.76,rally
2589.44,2593.24,rally
2602.68,2611.84,rally
2638.32,2640.48,rally
2652.04,2682.04,rally
2715.0,2717.4,rally
2730.0,2752.52,rally
2786.6,2789.4,rally
2802.72,2805.28,rally
2837.64,2841.0,rally
2907.8,2909.96,rally
2916.44,2929.92,rally
2946.44,2974.24,rally
3004.88,3016.52,rally
3037.96,3040.48,rally
3056.24,3061.76,rally
