start_s,end_s,label
1.301,3.837,rally
25.325,29.663,rally
50.517,53.787,rally
78.078,84.284,rally
144.311,160.594,rally
182.716,185.585,rally
199.8,215.482,rally
245.679,256.59,rally
282.849,285.318,rally
309.976,311.812,rally
332.532,344.744,rally
384.918,388.722,rally
410.844,414.848,rally
441.675,443.91,rally
452.319,483.083,rally
517.217,521.955,rally
638.738,643.977,rally
668.001,672.472,rally
694.661,699.799,rally
729.762,739.305,rally
773.106,777.01,rally
799.465,806.005,rally
835.068,842.241,rally
872.705,876.409,rally
914.046,917.517,rally
925.324,940.206,rally
975.107,995.127,rally
1035.501,1038.537,rally
1063.029,1083.983,rally
1116.983,1119.118,rally
1127.493,1135.568,rally
1166.465,1172.471,rally
1206.038,1208.908,rally
1216.882,1233.032,rally
1267.733,1272.605,rally
1300.065,1302.301,rally
1310.676,1326.625,rally
1361.06,1367.132,rally
1494.393,1496.362,rally
1520.552,1522.988,rally
1537.469,1542.608,rally
1568.367,1572.671,rally
1592.124,1594.526,rally
1610.909,1614.446,rally
1637.536,1640.639,rally
1662.427,1665.097,rally
1703.802,1713.545,rally
1744.409,1748.614,rally
1775.007,1777.476,rally
1789.621,1799.598,rally
1831.897,1834.099,rally
1842.674,1849.848,rally
1881.913,1884.316,rally
1911.176,1913.311,rally
1921.419,1929.995,rally
2058.323,2060.525,rally
2074.94,2090.288,rally
2122.42,2130.028,rally
2159.591,2163.094,rally
2191.456,2199.998,rally
2235.1,2243.208,rally
2277.876,2281.546,rally
2308.106,2311.743,rally
2337.669,2345.21,rally
2376.841,2380.812,rally
2394.292,2398.263,rally
2425.823,2430.628,rally
2458.222,2463.828,rally
2496.828,2503.334,rally
2537.101,2556.454,rally
2590.021,2605.203,rally
2657.388,2659.824,rally
2685.283,2687.718,rally
2696.494,2720.084,rally
2756.387,2767.632,rally
2802.333,2804.602,rally
2820.918,2828.826,rally
2849.613,2852.85,rally
2865.363,2876.707,rally
2902.933,2908.038,rally
2934.899,2937.501,rally
2950.948,2956.72,rally
2982.146,2986.984,rally
3013.077,3015.446,rally
3029.76,3032.73,rally
3085.616,3089.186,rally
3109.873,3112.076,rally
3120.184,3132.763,rally
3162.092,3168.432,rally
3197.628,3200.731,rally
3225.989,3234.431,rally
3273.203,3275.239,rally
3288.352,3303.433,rally
3331.962,3334.398,rally
3346.71,3349.313,rally
3367.164,3374.037,rally
3407.471,3410.607,rally
3430.56,3443.941,rally
3475.706,3478.942,rally
3493.323,3495.859,rally
3528.291,3536.5,rally
3567.864,3578.975,rally
3615.846,3618.115,rally
3643.573,3660.257,rally
3765.295,3767.631,rally
3779.609,3782.012,rally
3790.453,3806.136,rally
3838.835,3841.071,rally
3848.678,3856.519,rally
3884.814,3892.989,rally
3917.514,3919.549,rally
3927.891,3931.561,rally
3975.438,3994.457,rally
4025.755,4028.358,rally
4043.006,4045.808,rally
4070.7,4078.675,rally
4104.5,4106.803,rally
4131.594,4139.035,rally
4164.794,4167.063,rally
4180.076,4187.216,rally
4281.611,4284.046,rally
4291.854,4308.638,rally
4336.065,4343.406,rally
4365.861,4367.797,rally
4376.906,4379.442,rally
4403.532,4406.168,rally
4413.542,4431.127,rally
4465.294,4475.304,rally
4507.636,4514.076,rally
4553.382,4562.091,rally
4593.389,4601.063,rally
4622.785,4625.788,rally
4646.575,4648.844,rally
4675.304,4677.273,rally
4692.354,4700.462,rally
4731.226,4734.363,rally
4747.509,4763.659,rally
4800.596,4803.198,rally
4815.944,4824.019,rally
4935.798,4959.188,rally
4995.657,5003.866,rally
5027.523,5033.595,rally
5059.821,5062.457,rally
5070.933,5082.044,rally
5114.109,5127.623,rally
5168.563,5174.703,rally
5200.529,5202.864,rally
5224.386,5237.232,rally
5263.859,5278.273,rally
5308.87,5312.707,rally
5425.553,5431.593,rally
5455.784,5458.386,rally
5467.028,5474.302,rally
5506.334,5511.306,rally
5541.035,5544.739,rally
5571.766,5576.538,rally
5602.263,5605.6,rally
5614.442,5625.553,rally
5670.798,5675.27,rally
5696.958,5699.594,rally
5712.874,5725.62,rally
5753.314,5755.783,rally
5778.773,5781.876,rally
5797.692,5802.33,rally
5825.953,5841.402,rally
5976.204,5983.177,rally
6005.6,6009.637,rally
6017.211,6021.682,rally
6045.239,6048.042,rally
6055.883,6059.687,rally
6086.08,6088.382,rally
6098.059,6118.179,rally
6162.923,6167.028,rally
6173.934,6203.931,rally
6253.214,6255.516,rally
6263.724,6284.011,rally
6343.47,6346.841,rally
6366.16,6374.902,rally
6410.604,6415.409,rally
6446.307,6463.724,rally
6501.328,6503.797,rally
6518.479,6524.151,rally
6554.848,6567.561,rally
6603.864,6631.725,rally
6690.25,6695.155,rally
6744.104,6748.041,rally
6777.337,6785.078,rally
6835.128,6837.864,rally
6871.598,6876.47,rally
6896.923,6912.706,rally
6937.898,6940.333,rally
6949.276,6957.851,rally
6988.081,7010.003,rally
7043.637,7046.273,rally
