start_s,end_s,label
0.04,10.84,excluded
28.72,31.52,rally
40.04,45.84,rally
62.16,73.68,rally
95.08,98.16,rally
103.44,111.48,rally
130.12,134.76,rally
150.48,152.6,rally
160.44,163.68,rally
190.4,194.32,rally
212.76,218.2,rally
232.8,235.48,rally
241.48,247.84,rally
266.8,272.2,rally
290.36,292.76,rally
298.28,305.56,rally
327.84,329.72,rally
336.36,348.28,rally
436.96,440.36,rally
446.8,450.36,rally
456.12,460.6,rally
484.84,488.0,rally
503.08,505.72,rally
511.52,514.08,rally
533.92,536.2,rally
543.52,555.2,rally
580.84,590.2,rally
614.36,616.32,rally
623.16,636.04,rally
663.04,665.68,rally
673.52,680.16,rally
704.72,707.56,rally
713.48,719.12,rally
746.0,748.0,rally
757.2,761.88,rally
785.92,788.04,rally
797.96,800.6,rally
807.12,810.4,rally
835.68,840.04,rally
860.4,867.16,rally
