start_s,end_s,label
610.7,626.44,rally
659.98,662.42,rally
674.52,683.58,rally
712.3,723.06,rally
752.08,756.14,rally
782.02,785.56,rally
852.44,854.9,rally
862.9,867.18,rally
889.86,896.22,rally
919.5,930.7,rally
960.7,963.14,rally
1011.52,1017.54,rally
1038.86,1041.26,rally
1049.3,1060.78,rally
1087.48,1090.98,rally
1106.32,1115.12,rally
1148.22,1150.54,rally
1163.1,1182.3,rally
1216.76,1226.64,rally
1263.42,1268.44,rally
1361.38,1383.68,rally
1417.26,1419.56,rally
1448.46,1450.72,rally
1458.68,1472.88,rally
1506.58,1518.3,rally
1549.74,1552.02,rally
1560.26,1571.14,rally
1625.36,1646.46,rally
1716.28,1737.62,rally
1688.3,1690.86,rally
1777.96,1791.18,rally
1827.3,1830.6,rally
1863.4,1868.3,rally
1965.02,1967.74,rally
1977.02,1981.64,rally
2006.32,2008.42,rally
2017.1,2021.98,rally
2045.7,2047.54,rally
2056.52,2068.68,rally
2091.98,2096.08,rally
2118.14,2127.32,rally
2170.06,2172.68,rally
2183.62,2186.24,rally
2218.5,2221.3,rally
2230.18,2234.94,rally
2265.94,2269.78,rally
2282.32,2284.68,rally
2295.7,2300.76,rally
2327.26,2338.68,rally
2367.38,2370.04,rally
2395.72,2398.72,rally
2410.52,2418.92,rally
2459.06,2462.94,rally
2485.14,2495.0,rally
2525.58,2528.56,rally
2543.84,2552.3,rally
2580.44,2583.82,rally
2604.64,2609.5,rally
2701.7,2704.04,rally
2712.48,2718.24,rally
2743.72,2745.96,rally
2754.82,2770.26,rally
2801.8,2808.68,rally
2839.3,2842.84,rally
2852.46,2879.1,rally
2924.96,2927.24,rally
2936.24,2942.48,rally
2969.84,2982.18,rally
3021.72,3031.14,rally
3060.66,3070.46,rally
3096.66,3098.88,rally
3109.9,3114.54,rally
3144.66,3147.24,rally
3166.0,3169.58,rally
3265.92,3268.08,rally
3290.3,3292.98,rally
3301.4,3309.14,rally
3340.88,3343.06,rally
3352.0,3360.68,rally
3386.02,3390.72,rally
3544.98,3559.14,rally
3585.94,3588.28,rally
3598.92,3604.36,rally
3630.16,3634.56,rally
3652.8,3656.54,rally
3707.74,3716.4,rally
3740.1,3749.44,rally
3777.5,3779.8,rally
3789.58,3791.88,rally
3821.22,3835.44,rally
3870.66,3872.72,rally
3886.16,3917.4,rally
3954.62,3957.44,rally
3966.14,3970.22,rally
3997.62,4011.96,rally
4046.08,4048.82,rally
4057.66,4094.52,rally
4152.04,4181.32,rally
4218.28,4221.0,rally
4230.22,4235.24,rally
4281.12,4283.32,rally
4294.14,4304.38,rally
4333.16,4338.76,rally
4362.74,4381.56,rally
4410.96,4413.12,rally
4517.42,4523.3,rally
4554.18,4558.14,rally
4580.2,4583.32,rally
4591.68,4598.62,rally
4623.48,4632.32,rally
4665.16,4669.76,rally
4694.64,4697.04,rally
4705.16,4709.02,rally
4749.62,4758.22,rally
4781.92,4792.6,rally
4821.76,4826.84,rally
4854.5,4866.56,rally
4900.48,4903.26,rally
4918.76,4939.86,rally
5000.38,5003.54,rally
5016.22,5025.06,rally
5061.02,5072.16,rally
5099.98,5126.56,rally
5168.26,5180.66,rally
5210.8,5217.9,rally
5316.2,5320.98,rally
5347.36,5360.06,rally
5393.06,5396.16,rally
5403.3,5409.94,rally
5440.3,5443.7,rally
5452.74,5456.92,rally
5483.64,5486.04,rally
5501.46,5504.72,rally
5531.7,5536.84,rally
5583.26,5585.4,rally
5597.26,5610.94,rally
5641.46,5643.9,rally
5654.08,5661.7,rally
5688.14,5690.62,rally
5701.96,5707.84,rally
5736.3,5742.74,rally
5771.06,5784.38,rally
5824.6,5837.38,rally
5934.98,5953.9,rally
5984.34,5986.66,rally
5994.62,6013.34,rally
6048.68,6051.14,rally
6060.18,6073.3,rally
6108.62,6110.96,rally
6119.58,6128.96,rally
6155.52,6167.22,rally
6210.02,6215.22,rally
6237.48,6246.24,rally
6276.98,6283.24,rally
6307.62,6320.58,rally
6347.0,6349.32,rally
6358.78,6369.12,rally
6405.44,6411.88,rally
6505.44,6507.64,rally
