start_s,end_s,label
4.72,6.36,rally
14.16,16.8,rally
36.24,37.84,rally
43.4,67.0,rally
191.4,196.28,rally
220.28,222.52,rally
230.52,238.24,rally
268.92,270.88,rally
279.24,295.4,rally
327.24,331.72,rally
351.48,353.88,rally
361.92,365.24,rally
398.56,401.16,rally
408.56,417.32,rally
434.8,437.48,rally
442.88,446.88,rally
464.88,467.12,rally
472.84,499.88,rally
546.12,548.56,rally
557.68,573.84,rally
606.76,609.32,rally
615.88,619.56,rally
630.12,633.24,rally
646.72,653.88,rally
671.36,675.08,rally
691.96,697.96,rally
721.44,723.8,rally
744.24,748.48,rally
793.52,797.12,rally
819.12,825.2,rally
838.36,848.44,rally
868.88,873.64,rally
894.0,896.32,rally
