start_s,end_s,label
25.48,27.6,rally
40.24,42.96,rally
48.52,52.04,rally
65.04,69.4,rally
84.56,86.88,rally
100.16,102.32,rally
109.16,113.64,rally
162.4,171.76,rally
190.6,192.6,rally
202.64,208.92,rally
228.6,233.76,rally
252.32,254.92,rally
263.36,268.24,rally
293.88,296.04,rally
301.92,326.04,rally
348.04,350.12,rally
357.16,362.68,rally
381.52,384.44,rally
399.56,402.6,rally
419.8,426.72,rally
443.52,452.8,rally
544.92,547.12,rally
555.8,560.12,rally
578.24,581.36,rally
593.8,597.04,rally
604.08,620.0,rally
652.04,654.2,rally
665.96,675.6,rally
697.08,700.04,rally
711.68,719.6,rally
739.68,742.16,rally
752.12,760.4,rally
784.88,787.8,rally
800.32,805.24,rally
832.28,835.8,rally
854.88,860.68,rally
887.28,890.12,rally
