start_s,end_s,label
527.28,536.88,rally
560.84,562.88,rally
577.16,580.28,rally
601.8,604.16,rally
617.44,621.48,rally
645.8,651.68,rally
677.16,679.48,rally
702.76,712.12,rally
736.92,744.48,rally
775.56,777.6,rally
792.72,803.72,rally
830.72,833.36,rally
847.92,852.2,rally
874.8,886.76,rally
916.84,920.24,rally
933.48,937.44,rally
969.2,972.96,rally
999.2,1001.08,rally
1016.0,1024.0,rally
1052.04,1054.56,rally
1066.96,1078.92,rally
1112.24,1114.6,rally
1129.88,1133.28,rally
1161.68,1167.96,rally
1194.2,1203.6,rally
1235.36,1240.64,rally
1266.92,1268.88,rally
1283.04,1298.32,rally
1338.52,1343.56,rally
1422.48,1424.72,rally
1433.52,1442.0,rally
1470.2,1475.4,rally
1498.6,1503.56,rally
1531.52,1535.36,rally
1558.16,1560.72,rally
1571.32,1577.44,rally
1609.08,1612.2,rally
1628.48,1634.4,rally
1656.24,1663.04,rally
1689.16,1692.0,rally
1701.12,1709.52,rally
1739.6,1746.12,rally
1770.04,1772.2,rally
1874.84,1881.44,rally
1904.48,1907.56,rally
1933.92,1936.36,rally
1958.6,1964.92,rally
1998.4,2004.72,rally
2029.96,2033.08,rally
2045.16,2049.92,rally
2072.56,2079.28,rally
2100.04,2102.12,rally
2122.68,2130.08,rally
2160.56,2162.8,rally
2174.4,2176.88,rally
2265.76,2275.76,rally
2298.64,2303.64,rally
2329.64,2333.12,rally
2355.92,2358.36,rally
2366.68,2375.96,rally
2404.52,2410.4,rally
2436.48,2444.36,rally
2470.04,2472.24,rally
2482.08,2490.6,rally
2516.52,2518.8,rally
2548.08,2555.4,rally
2573.4,2575.76,rally
2584.76,2587.28,rally
2595.32,2604.56,rally
2622.84,2636.28,rally
2655.92,2658.24,rally
2672.24,2675.48,rally
2776.68,2780.4,rally
2795.48,2799.48,rally
2806.96,2810.16,rally
2831.0,2834.2,rally
2842.24,2847.56,rally
2873.8,2877.52,rally
2887.96,2894.64,rally
2917.64,2921.48,rally
2929.48,2937.0,rally
2970.52,2973.92,rally
3114.84,3117.12,rally
3133.8,3146.72,rally
3171.36,3180.72,rally
3205.12,3209.12,rally
3231.16,3240.92,rally
3271.4,3274.48,rally
3293.8,3300.52,rally
3352.96,3355.36,rally
3364.44,3366.84,rally
3376.0,3378.96,rally
3404.84,3407.52,rally
3415.84,3419.84,rally
3445.48,3450.8,rally
3477.08,3482.0,rally
3508.72,3511.32,rally
3520.56,3525.4,rally
3551.44,3553.76,rally
3576.68,3579.32,rally
3607.2,3610.8,rally
3634.76,3638.04,rally
3645.52,3654.92,rally
3695.04,3697.52,rally
3706.6,3716.8,rally
3743.12,3746.48,rally
3764.76,3767.08,rally
3779.88,3783.24,rally
3807.0,3812.92,rally
3836.2,3838.48,rally
3849.56,3860.64,rally
3883.48,3886.8,rally
3897.68,3906.96,rally
4011.68,4015.08,rally
4038.28,4055.08,rally
4082.72,4087.24,rally
4114.6,4120.72,rally
4146.88,4152.64,rally
4188.08,4191.76,rally
4210.28,4212.2,rally
4228.92,4242.68,rally
4261.76,4266.84,rally
4367.28,4369.36,rally
4377.64,4393.24,rally
4425.0,4427.04,rally
4437.28,4446.36,rally
4477.32,4488.2,rally
4512.92,4518.08,rally
4552.4,4557.68,rally
4575.64,4578.32,rally
4594.08,4605.32,rally
4635.44,4642.08,rally
4667.4,4674.44,rally
4706.16,4709.08,rally
4718.92,4722.12,rally
4830.2,4834.28,rally
4843.76,4846.32,rally
4856.68,4859.96,rally
4886.0,4889.28,rally
4912.04,4914.24,rally
4922.64,4926.48,rally
4950.12,4953.36,rally
4967.28,4978.48,rally
5005.92,5009.28,rally
5033.48,5037.08,rally
5165.8,5172.64,rally
5191.32,5196.04,rally
5208.72,5211.68,rally
5222.72,5225.32,rally
5245.8,5249.72,rally
5267.4,5272.32,rally
5319.08,5321.4,rally
5329.64,5333.28,rally
5354.88,5357.4,rally
5368.28,5378.6,rally
5409.8,5414.96,rally
5444.08,5446.44,rally
5456.04,5469.28,rally
5507.32,5515.68,rally
5546.56,5552.16,rally
5578.12,5583.64,rally
5612.44,5615.12,rally
5626.8,5629.76,rally
5666.44,5672.76,rally
5704.4,5707.4,rally
5719.28,5722.56,rally
5745.36,5748.0,rally
5758.84,5768.48,rally
5796.84,5799.64,rally
5822.12,5827.4,rally
5856.92,5864.68,rally
5890.72,5896.68,rally
5928.88,5935.96,rally
5962.68,5965.48,rally
5988.2,5992.76,rally
6004.28,6009.0,rally
6037.68,6040.24,rally
6052.52,6060.04,rally
6086.52,6094.28,rally
6116.64,6123.0,rally
6152.24,6155.24,rally
6172.48,6175.08,rally
6198.24,6207.16,rally
6233.08,6239.2,rally
6346.76,6349.72,rally
6361.0,6370.92,rally
6400.16,6404.4,rally
6427.52,6438.96,rally
6467.24,6469.64,rally
6479.24,6487.72,rally
6525.12,6535.72,rally
6558.96,6561.32,rally
6574.12,6582.92,rally
6604.2,6607.72,rally
6627.36,6630.76,rally
6722.6,6725.24,rally
6735.32,6752.4,rally
6785.28,6788.24,rally
6796.76,6802.04,rally
6828.88,6831.96,rally
6841.2,6855.24,rally
6890.92,6903.76,rally
6937.72,6940.08,rally
6950.2,6958.32,rally
6996.84,7000.28,rally
7013.6,7015.92,rally
7037.52,7046.4,rally
7081.2,7102.76,rally
7138.16,7141.12,rally
7155.24,7160.4,rally
7201.92,7204.2,rally
7214.64,7220.4,rally
7253.84,7257.6,rally
7284.0,7288.96,rally
7315.12,7321.24,rally
7351.6,7360.28,rally
7386.68,7389.12,rally
7431.36,7437.52,rally
7460.16,7464.2,rally
7484.16,7488.04,rally
7516.24,7522.32,rally
7633.0,7638.24,rally
7665.92,7668.6,rally
7678.2,7681.4,rally
7707.2,7712.56,rally
7735.96,7738.56,rally
7746.92,7755.68,rally
7784.76,7787.12,rally
7826.6,7835.2,rally
7862.12,7864.36,rally
7873.96,7881.28,rally
7905.68,7910.96,rally
7930.96,7934.2,rally
7954.0,7960.48,rally
8052.08,8054.64,rally
8063.08,8069.2,rally
8091.32,8094.88,rally
8114.56,8120.32,rally
8146.36,8148.6,rally
8157.56,8161.84,rally
8168.52,8171.12,rally
8204.4,8207.04,rally
8216.56,8220.6,rally
8256.6,8258.92,rally
8268.84,8271.64,rally
8288.4,8293.52,rally
8331.92,8336.48,rally
8363.4,8367.2,rally
8374.08,8381.12,rally
8422.56,8429.12,rally
8452.6,8457.68,rally
8477.56,8480.92,rally
8504.92,8508.72,rally
8529.28,8531.52,rally
8539.92,8543.32,rally
8646.2,8651.04,rally
8679.76,8683.52,rally
8708.48,8711.92,rally
8719.76,8727.48,rally
8757.48,8759.92,rally
8769.48,8772.72,rally
8813.56,8822.6,rally
8862.92,8868.16,rally
8893.96,8905.12,rally
8942.56,8944.6,rally
8955.4,8964.12,rally
8988.44,8991.56,rally
9024.44,9027.04,rally
9035.68,9038.24,rally
9047.04,9054.44,rally
9106.32,9108.88,rally
9116.2,9127.44,rally
9170.76,9173.04,rally
9188.84,9202.08,rally
9241.56,9248.12,rally
9283.88,9286.68,rally
9302.08,9307.56,rally
9340.64,9343.52,rally
9356.24,9358.48,rally
9367.6,9370.84,rally
