epoch,train_loss,val_loss,val_acc,val_f1,best
1,0.2366,0.2825,0.9716,0.8863,True
2,0.1407,0.1274,0.9775,0.9149,True
3,0.1182,0.1381,0.9785,0.9188,True
4,0.1044,0.1354,0.9787,0.9198,True
5,0.0933,0.1542,0.9796,0.9223,True
6,0.0841,0.1687,0.9806,0.9255,True
7,0.0787,0.1536,0.9813,0.9288,True
8,0.0732,0.1496,0.9811,0.9281,False
9,0.0694,0.1511,0.9814,0.9288,True
10,0.0661,0.1621,0.9799,0.9239,False
11,0.0627,0.1661,0.9817,0.9292,True
12,0.0588,0.1951,0.9808,0.9271,False
13,0.0569,0.1766,0.9808,0.9265,False
14,0.054,0.2457,0.9798,0.923,False
15,0.0519,0.249,0.9801,0.9228,False
16,0.0439,0.3027,0.9803,0.9232,False
17,0.0413,0.3444,0.9802,0.9231,False
18,0.0408,0.3609,0.9797,0.9207,False
