epoch,train_loss,val_loss,val_acc,val_f1,best
1,0.2062,0.1174,0.9708,0.8987,True
2,0.1308,0.1317,0.9756,0.9127,True
3,0.1101,0.1069,0.9759,0.9148,True
4,0.0959,0.1215,0.9779,0.9208,True
5,0.0875,0.1407,0.9764,0.9156,False
6,0.0801,0.1717,0.9779,0.9189,False
7,0.0746,0.1925,0.9768,0.9152,False
8,0.0694,0.2032,0.9795,0.9242,True
9,0.067,0.1756,0.98,0.927,True
10,0.0631,0.184,0.9785,0.9211,False
11,0.0598,0.2336,0.9784,0.9202,False
12,0.057,0.1982,0.9786,0.9222,False
13,0.0557,0.2238,0.9791,0.9235,False
14,0.0435,0.2333,0.9805,0.9284,True
15,0.0403,0.3008,0.9794,0.9233,False
16,0.0392,0.3283,0.9792,0.922,False
17,0.0378,0.3122,0.9785,0.9201,False
18,0.0376,0.2734,0.9787,0.9214,False
19,0.0303,0.3257,0.9788,0.9216,False
20,0.0283,0.3966,0.9787,0.9197,False
21,0.0282,0.3943,0.9783,0.9187,False
