epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,851.262,0.64083,0.8112,0.94017,0.8686,0.80824,0.832,0.62771,0.47613,0.85429,0.83896,0.00333136,0.00333136,0.0700177
2,1695.53,0.64479,0.53264,0.93605,0.89159,0.81434,0.84114,0.62441,0.49835,0.65773,0.847,0.00644476,0.00644476,0.0397978
3,2537.34,0.67517,0.52445,0.94614,0.9005,0.83089,0.856,0.6339,0.48327,1.10768,0.84489,0.00933816,0.00933816,0.00935786
4,3379.38,0.64581,0.47562,0.93702,0.90558,0.84244,0.86384,0.65804,0.45814,0.42875,0.83171,0.00901,0.00901,0.00901
5,4222.81,0.60798,0.43595,0.92203,0.91926,0.86036,0.87777,0.66572,0.43924,0.37677,0.82333,0.00868,0.00868,0.00868
6,5064.6,0.58537,0.4099,0.91376,0.92015,0.86003,0.87864,0.67865,0.42166,0.34511,0.82005,0.00835,0.00835,0.00835
7,5908.17,0.57522,0.3947,0.90989,0.93192,0.86193,0.88453,0.68813,0.41041,0.30277,0.81358,0.00802,0.00802,0.00802
8,6751.99,0.56018,0.37988,0.90458,0.92518,0.86809,0.88472,0.69206,0.39909,0.29207,0.8093,0.00769,0.00769,0.00769
9,7596.24,0.55188,0.37221,0.90321,0.93422,0.87088,0.89039,0.6955,0.3922,0.29538,0.80609,0.00736,0.00736,0.00736
10,8441.95,0.54303,0.36207,0.89812,0.92811,0.87435,0.89105,0.69915,0.38963,0.2588,0.80445,0.00703,0.00703,0.00703
11,9286.06,0.53783,0.35798,0.89663,0.93565,0.87888,0.89704,0.70291,0.38058,0.26606,0.80084,0.0067,0.0067,0.0067
12,10131.4,0.53082,0.34968,0.89335,0.93098,0.87978,0.89422,0.70564,0.3774,0.25024,0.79905,0.00637,0.00637,0.00637
13,10975.2,0.52543,0.34509,0.89126,0.93926,0.87673,0.89746,0.70648,0.37509,0.25994,0.79822,0.00604,0.00604,0.00604
14,11820.9,0.52251,0.34098,0.892,0.93239,0.8827,0.89724,0.71053,0.36972,0.24622,0.79729,0.00571,0.00571,0.00571
15,12668.4,0.5145,0.33657,0.88866,0.93731,0.88578,0.89927,0.71282,0.36596,0.24266,0.79491,0.00538,0.00538,0.00538
16,13513.6,0.50941,0.33021,0.88527,0.93613,0.88297,0.89995,0.71273,0.36505,0.24092,0.79382,0.00505,0.00505,0.00505
17,14360.4,0.5059,0.32616,0.88486,0.93697,0.88484,0.90067,0.71335,0.36307,0.23243,0.79364,0.00472,0.00472,0.00472
18,15209.7,0.49978,0.32205,0.88318,0.93951,0.87993,0.90197,0.71537,0.36113,0.23088,0.79326,0.00439,0.00439,0.00439
19,16058.1,0.49618,0.31734,0.88074,0.94085,0.88288,0.90309,0.71653,0.35854,0.2261,0.79152,0.00406,0.00406,0.00406
20,16904.9,0.49241,0.3136,0.87992,0.94485,0.88266,0.90436,0.71799,0.35532,0.22633,0.79039,0.00373,0.00373,0.00373
21,17734.8,0.43885,0.27922,0.83236,0.94084,0.8847,0.9038,0.71868,0.35328,0.22057,0.78872,0.0034,0.0034,0.0034
22,18552.7,0.43274,0.2742,0.82997,0.93947,0.88681,0.90454,0.72065,0.35145,0.21749,0.78791,0.00307,0.00307,0.00307
23,19368.3,0.42735,0.26763,0.82704,0.94175,0.88654,0.90559,0.72126,0.34994,0.21494,0.78729,0.00274,0.00274,0.00274
24,20185.6,0.42162,0.26207,0.82438,0.94677,0.88401,0.90609,0.72186,0.34845,0.21294,0.78657,0.00241,0.00241,0.00241
25,21002.8,0.41721,0.2576,0.8233,0.94415,0.88534,0.9068,0.7229,0.34725,0.21225,0.78595,0.00208,0.00208,0.00208
26,21819.7,0.41136,0.25144,0.81949,0.94368,0.88742,0.90722,0.72341,0.34596,0.21064,0.78521,0.00175,0.00175,0.00175
27,22637.4,0.40424,0.24486,0.81742,0.94369,0.88707,0.9064,0.72389,0.34509,0.20918,0.78479,0.00142,0.00142,0.00142
28,23457.3,0.39832,0.23945,0.81642,0.94778,0.88598,0.90796,0.72448,0.34457,0.20905,0.78432,0.00109,0.00109,0.00109
29,24276.1,0.39301,0.23376,0.81426,0.94234,0.88993,0.90768,0.72452,0.34392,0.20797,0.78395,0.00076,0.00076,0.00076
30,25093.9,0.38818,0.22853,0.81202,0.94619,0.88919,0.90843,0.72462,0.34353,0.20735,0.78361,0.00043,0.00043,0.00043
