epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.297,0.60136,1.0033,0.95267,0.87582,0.76507,0.81399,0.60728,0.47548,0.49136,0.8579,0.070053,0.00332744,0.00332744
2,540.485,0.61309,0.58299,0.94212,0.87698,0.76083,0.81488,0.5994,0.53181,0.51273,0.87689,0.0398332,0.00644097,0.00644097
3,808.774,0.67043,0.58416,0.96505,0.85409,0.8084,0.82316,0.58528,0.50919,0.67763,0.87873,0.00939339,0.0093345,0.0093345
4,1076.09,0.64325,0.53182,0.95695,0.85424,0.81819,0.82303,0.60283,0.48995,0.42279,0.86019,0.00901,0.00901,0.00901
5,1342.84,0.60706,0.47824,0.93817,0.89334,0.8276,0.85438,0.6378,0.45732,0.3863,0.85211,0.00868,0.00868,0.00868
6,1607.36,0.58511,0.44898,0.93332,0.8884,0.84113,0.85949,0.63816,0.4506,0.36051,0.84734,0.00835,0.00835,0.00835
7,1869.92,0.56665,0.42722,0.92309,0.92067,0.8008,0.8582,0.64717,0.4265,0.36108,0.83756,0.00802,0.00802,0.00802
8,2131.42,0.54965,0.41594,0.91866,0.88947,0.84276,0.87275,0.66647,0.42755,0.35103,0.82933,0.00769,0.00769,0.00769
9,2393.61,0.531,0.39247,0.91327,0.92269,0.8301,0.87057,0.67192,0.4112,0.35817,0.82806,0.00736,0.00736,0.00736
10,2659.09,0.52454,0.38618,0.90893,0.90012,0.85675,0.87966,0.67947,0.40008,0.32945,0.82627,0.00703,0.00703,0.00703
11,2919.93,0.5142,0.37465,0.90683,0.8794,0.83591,0.8683,0.67044,0.39653,0.34936,0.82021,0.0067,0.0067,0.0067
12,3181.92,0.50406,0.36754,0.90106,0.90619,0.86562,0.88271,0.67728,0.38224,0.32146,0.81951,0.00637,0.00637,0.00637
13,3444.17,0.49753,0.36118,0.90091,0.91773,0.87058,0.8968,0.69532,0.38034,0.3326,0.81522,0.00604,0.00604,0.00604
14,3705.11,0.48732,0.35391,0.89825,0.91503,0.8636,0.89653,0.69984,0.37784,0.32309,0.81413,0.00571,0.00571,0.00571
15,3967.85,0.48445,0.35189,0.89466,0.92103,0.85736,0.88848,0.69359,0.37426,0.28551,0.80879,0.00538,0.00538,0.00538
16,4228.43,0.47725,0.3407,0.89316,0.92719,0.85217,0.89145,0.70163,0.37221,0.28922,0.81101,0.00505,0.00505,0.00505
17,4488.76,0.46944,0.33436,0.88841,0.90531,0.85504,0.88909,0.70304,0.36683,0.28713,0.8089,0.00472,0.00472,0.00472
18,4749.56,0.46235,0.32899,0.88586,0.93084,0.85761,0.89428,0.69925,0.36711,0.26602,0.80848,0.00439,0.00439,0.00439
19,5011.43,0.4551,0.31848,0.88188,0.93281,0.85314,0.89976,0.70653,0.35669,0.2734,0.80379,0.00406,0.00406,0.00406
20,5272.5,0.45647,0.31979,0.88383,0.92977,0.86453,0.89362,0.71217,0.34987,0.26329,0.80221,0.00373,0.00373,0.00373
21,5534.39,0.40335,0.28581,0.8371,0.92089,0.85985,0.89846,0.70544,0.35723,0.27676,0.80357,0.0034,0.0034,0.0034
22,5790.53,0.39455,0.27838,0.82986,0.91632,0.85509,0.8929,0.7034,0.35095,0.25726,0.80039,0.00307,0.00307,0.00307
23,6048.03,0.38907,0.2706,0.82975,0.92106,0.86536,0.89685,0.71204,0.342,0.25685,0.79797,0.00274,0.00274,0.00274
24,6302.71,0.37939,0.26416,0.82849,0.92474,0.86072,0.89888,0.71279,0.34282,0.2518,0.79538,0.00241,0.00241,0.00241
25,6562.57,0.37423,0.26003,0.82404,0.92792,0.85972,0.90202,0.71296,0.33843,0.2477,0.79329,0.00208,0.00208,0.00208
26,6818.38,0.36918,0.25142,0.82124,0.91651,0.88244,0.90868,0.71502,0.33147,0.24215,0.79048,0.00175,0.00175,0.00175
27,7073.31,0.35856,0.24529,0.81912,0.93171,0.86579,0.90964,0.72102,0.32427,0.23532,0.78953,0.00142,0.00142,0.00142
28,7332.65,0.35268,0.23973,0.8151,0.92123,0.87559,0.90726,0.7229,0.32514,0.23393,0.78933,0.00109,0.00109,0.00109
29,7591.95,0.34631,0.23301,0.81382,0.91856,0.87711,0.91001,0.71939,0.32222,0.22953,0.78816,0.00076,0.00076,0.00076
30,7850.84,0.34132,0.22705,0.81159,0.91799,0.88073,0.91065,0.72447,0.31922,0.2266,0.7866,0.00043,0.00043,0.00043
