epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,860.991,0.49045,0.30475,0.88295,0.94032,0.8708,0.89663,0.69563,0.40593,0.28547,0.8094,0.00333202,0.00333202,0.0700118
2,1718.13,0.52848,0.33904,0.89676,0.92993,0.86209,0.8826,0.67552,0.45851,0.90129,0.83259,0.00653338,0.00653338,0.0398799
3,2577.29,0.57318,0.37942,0.91247,0.92699,0.8591,0.88548,0.67952,0.45147,0.48104,0.823,0.00960274,0.00960274,0.00961588
4,3434.88,0.58649,0.39714,0.91487,0.921,0.86652,0.88925,0.6682,0.42851,0.46837,0.81209,0.009406,0.009406,0.009406
5,4293.23,0.56695,0.38248,0.90817,0.93104,0.88788,0.90487,0.70314,0.40959,0.29831,0.80732,0.009208,0.009208,0.009208
6,5146.53,0.55275,0.36816,0.90232,0.93704,0.88583,0.90531,0.70477,0.39371,0.42885,0.79874,0.00901,0.00901,0.00901
7,6000.19,0.5436,0.36133,0.89891,0.94362,0.88934,0.90865,0.71503,0.38104,0.30339,0.79481,0.008812,0.008812,0.008812
8,6856.12,0.53368,0.35294,0.8929,0.94203,0.89571,0.9131,0.71953,0.37468,0.25508,0.79371,0.008614,0.008614,0.008614
9,7708.44,0.52872,0.34522,0.89337,0.93984,0.89688,0.91225,0.72549,0.36658,0.23961,0.78771,0.008416,0.008416,0.008416
10,8563.72,0.52191,0.33929,0.88947,0.95039,0.89869,0.91801,0.72878,0.35872,0.23619,0.78349,0.008218,0.008218,0.008218
11,9418.45,0.51561,0.33628,0.88806,0.95004,0.89854,0.91714,0.72802,0.35409,0.21839,0.78404,0.00802,0.00802,0.00802
12,10271.2,0.51031,0.33376,0.88639,0.95496,0.90525,0.92023,0.73424,0.34962,0.22599,0.783,0.007822,0.007822,0.007822
13,11126.2,0.50672,0.32519,0.88463,0.95212,0.90408,0.92233,0.73589,0.34527,0.21395,0.78076,0.007624,0.007624,0.007624
14,11984.4,0.50314,0.32548,0.88495,0.95185,0.9076,0.92204,0.73893,0.34202,0.20959,0.78134,0.007426,0.007426,0.007426
15,12837.2,0.49634,0.31895,0.88159,0.95558,0.90713,0.92316,0.73958,0.33763,0.20626,0.77881,0.007228,0.007228,0.007228
16,13689.9,0.49355,0.3163,0.87992,0.95206,0.90779,0.9241,0.74161,0.33635,0.20258,0.77787,0.00703,0.00703,0.00703
17,14542.8,0.49143,0.31286,0.87898,0.95543,0.91017,0.92586,0.74329,0.33315,0.19866,0.7773,0.006832,0.006832,0.006832
18,15394.5,0.48699,0.30936,0.87849,0.95494,0.90877,0.92554,0.74368,0.33228,0.19763,0.77705,0.006634,0.006634,0.006634
19,16250.9,0.48454,0.30705,0.87581,0.95745,0.90918,0.92679,0.74476,0.33028,0.19482,0.77601,0.006436,0.006436,0.006436
20,17104.3,0.47985,0.30245,0.8751,0.9563,0.90938,0.92584,0.74411,0.32888,0.19329,0.77528,0.006238,0.006238,0.006238
21,17956.4,0.47801,0.30224,0.87446,0.95836,0.90852,0.92748,0.74418,0.32783,0.19234,0.77551,0.00604,0.00604,0.00604
22,18809.1,0.4763,0.30035,0.87425,0.95871,0.90964,0.92855,0.74432,0.32651,0.19107,0.77509,0.005842,0.005842,0.005842
23,19659.1,0.47354,0.2963,0.87212,0.95953,0.90971,0.92809,0.74527,0.32563,0.19,0.77516,0.005644,0.005644,0.005644
24,20515.1,0.46824,0.29286,0.86944,0.96102,0.9091,0.92871,0.74631,0.3249,0.18913,0.7748,0.005446,0.005446,0.005446
25,21368.7,0.46781,0.29185,0.8709,0.9608,0.91095,0.92911,0.74733,0.32383,0.18868,0.77469,0.005248,0.005248,0.005248
26,22222.4,0.46409,0.28942,0.86977,0.96068,0.91094,0.93,0.74764,0.32342,0.18834,0.77451,0.00505,0.00505,0.00505
27,23076.8,0.46153,0.28738,0.8688,0.96028,0.91144,0.93004,0.74909,0.32291,0.18813,0.77424,0.004852,0.004852,0.004852
28,23930.6,0.45861,0.28434,0.86837,0.95987,0.91153,0.93002,0.74874,0.32252,0.18727,0.77402,0.004654,0.004654,0.004654
29,24786.2,0.45488,0.28174,0.86727,0.95971,0.91175,0.93032,0.74897,0.32245,0.18628,0.77394,0.004456,0.004456,0.004456
30,25643.7,0.45203,0.279,0.86544,0.95913,0.91305,0.93074,0.74945,0.32183,0.18591,0.77362,0.004258,0.004258,0.004258
31,26495.4,0.45,0.27777,0.86548,0.96149,0.91256,0.93068,0.74953,0.32135,0.18529,0.77341,0.00406,0.00406,0.00406
32,27347.1,0.44693,0.27565,0.86448,0.96241,0.91133,0.93052,0.74944,0.32112,0.1846,0.77327,0.003862,0.003862,0.003862
33,28202.4,0.44323,0.2701,0.86339,0.96111,0.91379,0.93149,0.75002,0.32077,0.18413,0.77308,0.003664,0.003664,0.003664
34,29056.6,0.44124,0.2697,0.86102,0.96221,0.91353,0.93143,0.75094,0.32003,0.18319,0.77288,0.003466,0.003466,0.003466
35,29909.2,0.43782,0.26719,0.86123,0.9625,0.91311,0.93143,0.7512,0.31966,0.1826,0.77254,0.003268,0.003268,0.003268
36,30762.4,0.43483,0.26326,0.86004,0.96272,0.91306,0.9316,0.75128,0.31914,0.18193,0.77222,0.00307,0.00307,0.00307
37,31615.3,0.43107,0.26156,0.85814,0.96374,0.91277,0.93213,0.75199,0.31838,0.1811,0.7718,0.002872,0.002872,0.002872
38,32467.9,0.42865,0.25759,0.85823,0.96388,0.91293,0.93242,0.75245,0.31773,0.18089,0.77149,0.002674,0.002674,0.002674
39,33321.4,0.42448,0.255,0.85629,0.9646,0.91271,0.93283,0.75298,0.31699,0.18007,0.77122,0.002476,0.002476,0.002476
40,34172.4,0.42247,0.25299,0.85596,0.96385,0.91286,0.93289,0.7534,0.31638,0.17915,0.77067,0.002278,0.002278,0.002278
41,35006,0.38028,0.22611,0.80586,0.963,0.9131,0.93306,0.75378,0.3156,0.17889,0.77032,0.00208,0.00208,0.00208
42,35834.4,0.37367,0.21997,0.80406,0.96545,0.912,0.93328,0.75396,0.31517,0.17836,0.77005,0.001882,0.001882,0.001882
43,36660.4,0.36729,0.2155,0.80201,0.96567,0.91175,0.93347,0.75415,0.31441,0.17816,0.76976,0.001684,0.001684,0.001684
44,37488.1,0.36436,0.21294,0.8008,0.96627,0.91179,0.93363,0.75474,0.31352,0.17753,0.76939,0.001486,0.001486,0.001486
45,38315.8,0.35981,0.20835,0.79861,0.9678,0.91102,0.93392,0.75526,0.31265,0.17686,0.76914,0.001288,0.001288,0.001288
46,39144,0.35431,0.20398,0.79657,0.96859,0.91023,0.93414,0.75543,0.31192,0.17626,0.76879,0.00109,0.00109,0.00109
47,39970.5,0.35152,0.20127,0.79653,0.96845,0.90994,0.93431,0.75539,0.31106,0.17571,0.76826,0.000892,0.000892,0.000892
48,40796.9,0.34691,0.19661,0.79543,0.97097,0.91045,0.93479,0.75627,0.31053,0.17526,0.76795,0.000694,0.000694,0.000694
49,41626.5,0.34266,0.19255,0.79269,0.9699,0.91023,0.9348,0.75671,0.31013,0.17462,0.76771,0.000496,0.000496,0.000496
50,42453.3,0.339,0.18885,0.79373,0.96927,0.91083,0.93498,0.75718,0.30955,0.17417,0.76737,0.000298,0.000298,0.000298
