model,match,surface,gt_segments,gt_rally_min,pred_segments,pred_rally_min,precision,recall,f1,fully_captured,partially_cut,fully_missed
v1,A2025_Sinner_v_Shelton,Hard,301,33.3,341,46.5,0.816,0.984,0.892,271,28,2
v1,R2025_Musetti_v_Tiafoe,Clay,306,36.3,361,48.0,0.805,0.933,0.864,201,89,16
v1,W2019_Federer_v_Nadal,Grass,349,33.7,387,51.6,0.75,0.981,0.85,315,32,2
v2,A2025_Sinner_v_Shelton,Hard,301,33.3,323,39.3,0.856,0.991,0.919,288,13,0
v2,R2025_Musetti_v_Tiafoe,Clay,306,36.3,338,39.9,0.857,0.936,0.895,279,15,12
v2,W2019_Federer_v_Nadal,Grass,349,33.7,366,42.5,0.798,0.982,0.881,325,20,4
cnn_gru,A2025_Sinner_v_Shelton,Hard,301,33.3,310,39.0,0.815,0.956,0.88,253,35,13
gru,A2025_Sinner_v_Shelton,Hard,301,33.3,323,40.2,0.823,0.993,0.9,292,9,0
cnn_gru,R2025_Musetti_v_Tiafoe,Clay,306,36.3,335,42.6,0.815,0.955,0.879,266,36,4
gru,R2025_Musetti_v_Tiafoe,Clay,306,36.3,333,39.0,0.856,0.92,0.886,239,52,15
cnn_gru,W2019_Federer_v_Nadal,Grass,349,33.7,368,40.3,0.784,0.938,0.854,285,55,9
gru,W2019_Federer_v_Nadal,Grass,349,33.7,368,42.0,0.78,0.973,0.866,314,28,7
